CMDLINE python minimize_simple_function.py
MEM 1.597656 1478944910.1362
MEM 18.699219 1478944910.2366
MEM 23.761719 1478944910.3369
MEM 29.980469 1478944910.4373
MEM 45.890625 1478944910.5376
MEM 59.757812 1478944910.6379
MEM 80.007812 1478944910.7383
MEM 87.269531 1478944910.8386
MEM 90.218750 1478944910.9399
MEM 90.589844 1478944911.0403
MEM 90.589844 1478944911.1407
MEM 90.589844 1478944911.2419
MEM 90.589844 1478944911.3433
MEM 90.589844 1478944911.4447
MEM 90.589844 1478944911.5460
MEM 90.589844 1478944911.6471
MEM 90.589844 1478944911.7487
MEM 90.589844 1478944911.8499
MEM 90.589844 1478944911.9508
MEM 90.589844 1478944912.0521
MEM 90.589844 1478944912.1535
MEM 90.589844 1478944912.2547
MEM 90.589844 1478944912.3558
MEM 90.589844 1478944912.4568
MEM 90.589844 1478944912.5578
MEM 90.589844 1478944912.6588
MEM 90.589844 1478944912.7597
MEM 90.589844 1478944912.8610
MEM 90.589844 1478944912.9620
MEM 90.589844 1478944913.0634
MEM 90.589844 1478944913.1648
MEM 90.589844 1478944913.2656
MEM 90.589844 1478944913.3666
MEM 90.589844 1478944913.4678
MEM 90.589844 1478944913.5691
MEM 90.589844 1478944913.6700
MEM 90.589844 1478944913.7706
MEM 90.589844 1478944913.8715
MEM 90.589844 1478944913.9720
MEM 90.589844 1478944914.0728
MEM 90.589844 1478944914.1740
MEM 90.589844 1478944914.2750
MEM 90.589844 1478944914.3758
MEM 90.589844 1478944914.4766
MEM 90.589844 1478944914.5773
MEM 90.589844 1478944914.6781
MEM 90.589844 1478944914.7790
MEM 90.589844 1478944914.8799
MEM 90.589844 1478944914.9808
MEM 90.589844 1478944915.0818
MEM 90.589844 1478944915.1834
MEM 90.589844 1478944915.2848
MEM 90.589844 1478944915.3858
MEM 110.441406 1478944915.4862
MEM 110.441406 1478944915.5865
MEM 110.441406 1478944915.6874
MEM 110.441406 1478944915.7885
MEM 110.441406 1478944915.8895
MEM 110.441406 1478944915.9905
MEM 110.441406 1478944916.0918
MEM 110.441406 1478944916.1928
MEM 110.441406 1478944916.2938
MEM 110.441406 1478944916.3947
MEM 110.441406 1478944916.4958
MEM 110.441406 1478944916.5964
MEM 110.441406 1478944916.6977
MEM 110.441406 1478944916.7988
MEM 110.441406 1478944916.8996
MEM 110.441406 1478944917.0007
MEM 110.441406 1478944917.1020
MEM 110.441406 1478944917.2034
MEM 110.441406 1478944917.3044
MEM 110.441406 1478944917.4053
MEM 110.441406 1478944917.5066
MEM 110.441406 1478944917.6080
MEM 110.441406 1478944917.7091
MEM 110.441406 1478944917.8106
MEM 110.441406 1478944917.9117
MEM 110.441406 1478944918.0129
MEM 110.441406 1478944918.1140
MEM 110.441406 1478944918.2154
MEM 110.441406 1478944918.3168
MEM 110.441406 1478944918.4180
MEM 110.441406 1478944918.5188
MEM 110.441406 1478944918.6200
MEM 110.441406 1478944918.7211
MEM 110.441406 1478944918.8222
MEM 110.441406 1478944918.9234
MEM 110.441406 1478944919.0248
MEM 110.441406 1478944919.1262
MEM 110.441406 1478944919.2269
MEM 110.441406 1478944919.3279
MEM 110.441406 1478944919.4292
MEM 110.441406 1478944919.5305
MEM 110.441406 1478944919.6318
MEM 110.441406 1478944919.7332
MEM 110.441406 1478944919.8341
MEM 110.441406 1478944919.9355
MEM 110.441406 1478944920.0364
MEM 110.441406 1478944920.1368
MEM 110.441406 1478944920.2379
MEM 110.441406 1478944920.3392
FUNC __main__.optimize_objective 70.1172 1478944910.6860 98.0117 1478944924.8264
MEM 110.441406 1478944920.4406
MEM 110.441406 1478944920.5419
MEM 110.441406 1478944920.6431
MEM 110.441406 1478944920.7440
MEM 110.441406 1478944920.8453
MEM 110.441406 1478944920.9466
MEM 110.441406 1478944921.0476
MEM 110.441406 1478944921.1490
MEM 110.441406 1478944921.2504
MEM 110.441406 1478944921.3515
MEM 110.441406 1478944921.4525
MEM 110.441406 1478944921.5534
MEM 110.441406 1478944921.6545
MEM 110.441406 1478944921.7558
MEM 110.441406 1478944921.8572
MEM 110.441406 1478944921.9582
MEM 110.441406 1478944922.0595
MEM 110.441406 1478944922.1608
MEM 110.441406 1478944922.2621
MEM 110.441406 1478944922.3635
MEM 110.441406 1478944922.4648
MEM 110.441406 1478944922.5657
MEM 110.441406 1478944922.6669
MEM 110.441406 1478944922.7682
MEM 110.441406 1478944922.8697
MEM 110.441406 1478944922.9710
MEM 110.441406 1478944923.0724
MEM 110.441406 1478944923.1734
MEM 110.441406 1478944923.2747
MEM 110.441406 1478944923.3759
MEM 110.441406 1478944923.4769
MEM 110.441406 1478944923.5782
MEM 110.441406 1478944923.6792
MEM 110.441406 1478944923.7802
MEM 110.441406 1478944923.8815
MEM 110.441406 1478944923.9828
MEM 110.441406 1478944924.0839
MEM 110.441406 1478944924.1852
MEM 110.441406 1478944924.2863
MEM 110.441406 1478944924.3875
MEM 110.441406 1478944924.4888
MEM 110.441406 1478944924.5902
MEM 110.441406 1478944924.6915
MEM 110.441406 1478944924.7923
